rand_point,2010,2014,2018,2022
138,-3.30698,0.96156,1.83781,1.05613
139,-1.64425,2.3997,1.83781,1.05613
140,4.83327,0.35805,1.83781,1.99404
141,6.91466,0.16506,1.83781,2.44877
142,5.59445,4.48547,1.98712,2.44877
143,6.53438,-0.60189,1.98712,2.67772
144,6.53927,1.83176,1.98712,3.08332
145,3.87472,0.15602,1.98712,3.08332
146,1.46428,0.58944,1.42851,0.9749
147,3.11867,1.91982,2.09304,3.89552
148,6.96819,2.42977,2.09304,3.89552
149,6.94244,3.5259,3.36021,5.69783
150,3.08096,-0.60355,3.36021,5.69783
151,6.35581,4.41865,4.16908,6.33422
152,4.6094,2.30103,2.39523,4.51161
153,6.20735,-1.19905,1.38267,0.58689
154,5.59317,2.2939,1.81326,3.92259
155,3.90385,2.78323,1.81326,3.92259
156,8.56539,6.68403,4.12038,7.52927
157,6.29491,4.04838,3.34638,5.57843
158,5.42983,0.33277,3.34638,5.57843
159,7.84952,5.95371,3.98477,7.35593
